date,mean_t,mean_t_qi,mean_t_hn,max_t,max_t_qi,max_t_hn,min_t,min_t_qi,min_t_hn,sum_rf,sum_rf_ni,sum_rf_qi,sum_rf_hn,dh,dh_ni,dh_qi,dh_hn,sum_sf,sum_sf_ni,sum_sf_qi,sum_sf_hn,mean_ws,mean_ws_qi,mean_ws_hn,most_wd,most_wd_qi,most_wd_hn,mean_h,mean_h_qi,mean_h_hn,mean_p,mean_p_qi,mean_p_hn,mean_cc,mean_cc_qi,mean_cc_hn,gwc_day,gwc_day_qi,gwc_day_hn,gwc_night,gwc_night_qi,gwc_night_hn
1961/2/1,3.7,8,1,9.9,8,1,0.0,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,5.0,8,1,,0,1,34,8,1,1005.0,8,1,0.3,8,1,,8,1,,8,1
1961/2/2,1.7,8,1,8.5,8,1,-4.1,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,1.6,8,1,,0,1,55,8,1,1008.5,8,1,0.3,8,1,,8,1,,8,1
1961/2/3,2.7,8,1,9.7,8,1,-4.4,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,2.4,8,1,,0,1,44,8,1,1010.3,8,1,0.0,8,1,,8,1,,8,1
1961/2/4,4.1,8,1,10.6,8,1,-3.3,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,3.1,8,1,,0,1,35,8,1,1023.0,8,1,0.0,8,1,,8,1,,8,1
1961/2/5,4.9,8,1,11.0,8,1,-0.2,8,1,1.3,0,8,1,6.8,0,8,1,0,1,8,1,1.7,8,1,,0,1,51,8,1,1024.7,8,1,6.8,8,1,,8,1,,8,1
1961/2/6,4.6,8,1,6.1,8,1,2.0,8,1,20.8,0,8,1,0,1,8,1,0,1,8,1,3.1,8,1,,0,1,80,8,1,1017.8,8,1,10.0,8,1,,8,1,,8,1
1961/2/7,8.1,8,1,12.3,8,1,4.3,8,1,1.4,0,8,1,0,1,8,1,0,1,8,1,3.8,8,1,,0,1,78,8,1,994.9,8,1,8.5,8,1,,8,1,,8,1
1961/2/8,7.1,8,1,12.8,8,1,2.8,8,1,0.0,0,8,1,7.0,0,8,1,0,1,8,1,2.4,8,1,,0,1,42,8,1,999.7,8,1,4.3,8,1,,8,1,,8,1
1961/2/9,6.0,8,1,12.1,8,1,-0.6,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,2.4,8,1,,0,1,55,8,1,1002.8,8,1,0.0,8,1,,8,1,,8,1
1961/2/10,4.5,8,1,10.3,8,1,0.0,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,4.5,8,1,,0,1,38,8,1,1008.7,8,1,0.5,8,1,,8,1,,8,1
1961/2/11,1.5,8,1,3.7,8,1,-0.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.6,8,1,,0,1,48,8,1,1012.8,8,1,8.5,8,1,,8,1,,8,1
1961/2/12,5.0,8,1,12.7,8,1,-0.6,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,3.0,8,1,,0,1,50,8,1,1002.4,8,1,3.5,8,1,,8,1,,8,1
1961/2/13,3.9,8,1,9.2,8,1,-0.4,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,4.4,8,1,,0,1,41,8,1,1011.9,8,1,0.0,8,1,,8,1,,8,1
1961/2/14,3.6,8,1,13.4,8,1,-2.8,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,4.9,8,1,,0,1,49,8,1,1004.2,8,1,0.5,8,1,,8,1,,8,1
1961/2/15,1.4,8,1,7.3,8,1,-2.5,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,2.5,8,1,,0,1,45,8,1,1007.4,8,1,2.8,8,1,,8,1,,8,1
1961/2/16,2.7,8,1,8.7,8,1,-3.1,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,2.6,8,1,,0,1,43,8,1,1009.1,8,1,3.3,8,1,,8,1,,8,1
1961/2/17,5.0,8,1,13.7,8,1,-2.9,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,3.1,8,1,,0,1,41,8,1,1006.9,8,1,4.3,8,1,,8,1,,8,1
1961/2/18,3.9,8,1,10.5,8,1,-2.7,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,3.0,8,1,,0,1,39,8,1,1013.7,8,1,1.5,8,1,,8,1,,8,1
1961/2/19,4.4,8,1,11.7,8,1,-2.1,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,2.1,8,1,,0,1,38,8,1,1020.3,8,1,1.5,8,1,,8,1,,8,1
1961/2/20,6.2,8,1,12.7,8,1,-2.7,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,1.8,8,1,,0,1,51,8,1,1021.8,8,1,4.3,8,1,,8,1,,8,1
