date,mean_t,mean_t_qi,mean_t_hn,max_t,max_t_qi,max_t_hn,min_t,min_t_qi,min_t_hn,sum_rf,sum_rf_ni,sum_rf_qi,sum_rf_hn,dh,dh_ni,dh_qi,dh_hn,sum_sf,sum_sf_ni,sum_sf_qi,sum_sf_hn,mean_ws,mean_ws_qi,mean_ws_hn,most_wd,most_wd_qi,most_wd_hn,mean_h,mean_h_qi,mean_h_hn,mean_p,mean_p_qi,mean_p_hn,mean_cc,mean_cc_qi,mean_cc_hn,gwc_day,gwc_day_qi,gwc_day_hn,gwc_night,gwc_night_qi,gwc_night_hn
1980/4/1,6.7,8,1,9.8,8,1,4.8,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,2.5,8,1,,0,1,76,8,1,1001.5,8,1,9.8,8,1,曇,8,1,降水なし,8,1
1980/4/2,6.2,8,1,13.0,8,1,2.5,8,1,0.0,0,8,1,8.4,0,8,1,0,1,8,1,3.6,8,1,,0,1,45,8,1,1011.2,8,1,3.0,8,1,晴時々雨,8,1,降水なし,8,1
1980/4/3,6.5,8,1,12.6,8,1,2.5,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,2.4,8,1,,0,1,37,8,1,1022.6,8,1,0.3,8,1,晴,8,1,降水なし,8,1
1980/4/4,9.0,8,1,18.9,8,1,-0.3,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,1.5,8,1,,0,1,49,8,1,1021.8,8,1,4.3,8,1,晴,8,1,降水なし,8,1
1980/4/5,14.3,8,1,22.4,8,1,4.1,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,2.2,8,1,,0,1,60,8,1,1014.8,8,1,5.8,8,1,晴,8,1,降水なし,8,1
1980/4/6,17.8,8,1,21.9,8,1,12.3,8,1,0.0,0,8,1,1.6,0,8,1,0,1,8,1,5.4,8,1,,0,1,63,8,1,998.6,8,1,10.0,8,1,曇,8,1,時々雨、大風を伴う,8,1
1980/4/7,8.2,8,1,15.2,8,1,3.0,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,5.3,8,1,,0,1,48,8,1,1009.5,8,1,5.3,8,1,晴,8,1,降水なし,8,1
1980/4/8,9.9,8,1,17.1,8,1,1.5,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,3.1,8,1,,0,1,60,8,1,1011.2,8,1,3.0,8,1,晴,8,1,降水なし,8,1
1980/4/9,9.9,8,1,15.0,8,1,6.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,2.4,8,1,,0,1,71,8,1,1003.6,8,1,9.5,8,1,曇,8,1,降水なし,8,1
1980/4/10,6.1,8,1,10.1,8,1,2.5,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,4.5,8,1,,0,1,39,8,1,1013.9,8,1,2.0,8,1,晴,8,1,降水なし,8,1
