date,mean_t,mean_t_qi,mean_t_hn,max_t,max_t_qi,max_t_hn,min_t,min_t_qi,min_t_hn,sum_rf,sum_rf_ni,sum_rf_qi,sum_rf_hn,dh,dh_ni,dh_qi,dh_hn,sum_sf,sum_sf_ni,sum_sf_qi,sum_sf_hn,mean_ws,mean_ws_qi,mean_ws_hn,most_wd,most_wd_qi,most_wd_hn,mean_h,mean_h_qi,mean_h_hn,mean_p,mean_p_qi,mean_p_hn,mean_cc,mean_cc_qi,mean_cc_hn,gwc_day,gwc_day_qi,gwc_day_hn,gwc_night,gwc_night_qi,gwc_night_hn
1960/2/1,7.2,8,1,13.3,8,1,0.5,8,1,0.0,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/2,6.5,8,1,8.6,8,1,4.7,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/3,4.8,8,1,7.3,8,1,3.2,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/4,6.0,8,1,12.5,8,1,1.5,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/5,6.3,8,1,11.1,8,1,1.4,8,1,0.0,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/6,5.8,8,1,12.5,8,1,2.2,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/7,6.3,8,1,14.9,8,1,-0.5,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/8,9.3,8,1,15.0,8,1,1.9,8,1,0.0,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/9,12.2,8,1,19.3,8,1,6.7,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/10,8.3,8,1,13.5,8,1,7.5,8,1,2.9,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/11,3.6,8,1,10.4,8,1,1.2,8,1,0.0,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/12,2.7,8,1,8.1,8,1,-2.5,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/13,4.9,8,1,10.6,8,1,-1.5,8,1,0,1,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
1960/2/14,7.0,8,1,16.6,8,1,-0.3,8,1,0.0,0,8,1,,,0,1,,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,8,1,,8,1
